ud_kodea,poblacion,territorio,CPRO,MUN,CMUN,TAMAÑOMUN_INE,TOTAL,LenguaHabitualEuskera,LenguaHabitualCastellano,LenguaHabitualAmbas,LenguaHabitualOtras,LengHabitual_Eus,LengHabitual_Cas,LengHabitual_Ambas,LengHabitual_Otras,LengHabitual_Euskera.Ambas,puestos_normativa_per,puestos_practica_per,PL_Acreditado,Total,Euskaldunes,Eus_Alf,Eus_ParcialAlf,Eus_NoAlf,CuasiEus,CuasiEus_Alf,CuasiEus_NoAlf,CuasiEus_Pasivos,Erdaldunes,Euskaldunes.Alfabetizados,Euskaldunes.Orales.Ágrafos,Euskaldunes.Ulermendun.Belarriprest,Erdaldunes.1,CMUN_char,CPRO_char,habitual_euskera,habitual_solo_euskera,habitual_ambas,habitual_euskera_per,tamaño
48001,7527,BIZKAIA,48,Abadiño,1,7.618,7.527,1704,4461,1209,153,"22,64","59,27","16,06","2,03","38,70",62.26,100,"56,70",7.314,4.093,3.495,403,195,1.296,885,191,220,1.925,47.79,8.18,17.72,26.32,001,48,2913,22.64,16.06,38.7,b. De 5.001 a 10.000
20001,320,GIPUZKOA,20,Abaltzisketa,1,312,320,278,31,10,1,"86,88","9,69","3,13","0,31","90,00",95.33,100,"80,00",309,292,245,41,6,5,3,-,2,12,79.29,15.21,1.62,3.88,001,20,288,86.88,3.12,90,c. Menos de 5.001
48002,9564,BIZKAIA,48,Abanto y Ciérvana-Abanto Zierbena,2,9.436,9.564,185,8577,668,134,"1,93","89,68","6,98","1,40","8,92",33.83,37.7,"34,50",9.361,2.851,2.492,216,143,2.044,1.398,242,404,4.466,26.62,3.84,21.84,47.71,002,48,853,1.93,6.98,8.92,b. De 5.001 a 10.000
20002,465,GIPUZKOA,20,Aduna,2,482,465,373,76,15,1,"80,22","16,34","3,23","0,22","83,44",88.17,100,"80,00",451,412,337,57,18,16,8,2,6,23,74.72,16.63,3.55,5.1,002,20,388,80.22,3.23,83.44,c. Menos de 5.001
01051,5207,ARABA,1,Agurain/Salvatierra,51,5.029,5.207,173,4290,456,288,"3,32","82,39","8,76","5,53","12,08",39.04,67.5,"62,90",4.993,1.656,1.41,167,79,977,655,139,183,2.36,28.24,4.93,19.57,47.27,051,01,629,3.32,8.76,12.08,b. De 5.001 a 10.000
20016,2057,GIPUZKOA,20,Aia,16,2.056,2.057,1519,346,154,38,"73,85","16,82","7,49","1,85","81,33",92.82,100,"73,30",1.988,1.746,1.536,146,64,119,80,24,15,123,77.26,10.56,5.99,6.19,016,20,1673,73.85,7.49,81.33,c. Menos de 5.001
20003,749,GIPUZKOA,20,Aizarnazabal,3,795,749,535,140,40,34,"71,43","18,69","5,34","4,54","76,77",90.22,100,"100,00",717,599,510,58,31,53,31,10,12,65,71.13,12.41,7.39,9.07,003,20,575,71.43,5.34,76.77,c. Menos de 5.001
48911,465,BIZKAIA,48,Ajangiz,911,483,465,302,81,79,3,"64,95","17,42","16,99","0,65","81,94",92.72,100,"50,00",454,416,357,50,9,18,13,2,3,20,78.63,13,3.96,4.41,911,48,381,64.95,16.99,81.94,c. Menos de 5.001
20004,301,GIPUZKOA,20,Albiztur,4,316,301,247,33,15,6,"82,06","10,96","4,98","1,99","87,04",92.29,100,"100,00",289,265,207,45,13,13,3,3,7,11,71.63,20.07,4.5,3.81,004,20,262,82.06,4.98,87.04,c. Menos de 5.001
20005,1780,GIPUZKOA,20,Alegia,5,1.762,1.78,1060,486,158,76,"59,55","27,30","8,88","4,27","68,43",87.08,100,"83,30",1.736,1.363,1.189,124,50,131,87,16,28,242,68.49,10.02,7.55,13.94,005,20,1218,59.55,8.88,68.43,c. Menos de 5.001
01001,3029,ARABA,1,Alegría-Dulantzi,1,2.925,3.029,106,2484,297,142,"3,50","82,01","9,81","4,69","13,30",41.79,55.6,"68,00",2.933,1.081,941,94,46,652,476,75,101,1.2,32.08,4.77,22.23,40.91,001,01,403,3.5,9.81,13.3,c. Menos de 5.001
