zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño	tamano2
Todos						
Más de 10.000						
De 5.001 a 10.000						
Menos de 5.001
Abadiño	38.7	62.26	100	BIZKAIA	7527	b. De 5.001 a 10.000	de5001a10000
Abanto y Ciérvana-Abanto Zierbena	8.92	33.83	37.7	BIZKAIA	9564	b. De 5.001 a 10.000	de5001a10000
Ajangiz	81.94	92.72	100	BIZKAIA	465	c. Menos de 5.001	menosde5001
Alonsotegi	10.42	33.24	25	BIZKAIA	2888	c. Menos de 5.001	menosde5001
Amorebieta-Etxano	39.03	64.55	98.1	BIZKAIA	18633	a. Más de 10.000	másde10000
Amoroto	87.38	94.16	100	BIZKAIA	412	c. Menos de 5.001	menosde5001
Arakaldo	30.99	57.61	50	BIZKAIA	171	c. Menos de 5.001	menosde5001
Arantzazu	61.63	87.63	100	BIZKAIA	404	c. Menos de 5.001	menosde5001
Areatza	47.62	71.22	80	BIZKAIA	1178	c. Menos de 5.001	menosde5001
Arrankudiaga	36.45	65.26	57.1	BIZKAIA	996	c. Menos de 5.001	menosde5001
Arratzu	82.34	94.57	100	BIZKAIA	402	c. Menos de 5.001	menosde5001
Arrieta	56.78	85.11	100	BIZKAIA	553	c. Menos de 5.001	menosde5001
Arrigorriaga	15.07	43.33	77.8	BIZKAIA	11989	a. Más de 10.000	másde10000
Artea	65.71	84.8	80	BIZKAIA	735	c. Menos de 5.001	menosde5001
Artzentales	8.76	26.71	25	BIZKAIA	731	c. Menos de 5.001	menosde5001
Atxondo	52.21	71.92	100	BIZKAIA	1379	c. Menos de 5.001	menosde5001
Aulesti	84.84	95.66	100	BIZKAIA	653	c. Menos de 5.001	menosde5001
Bakio	45.34	66.41	86.7	BIZKAIA	2627	c. Menos de 5.001	menosde5001
Balmaseda	8	29.8	41.7	BIZKAIA	7691	b. De 5.001 a 10.000	de5001a10000
Barakaldo	6.86	29.23	30.6	BIZKAIA	98684	a. Más de 10.000	másde10000
Barrika	25.35	55.56	66.7	BIZKAIA	1566	c. Menos de 5.001	menosde5001
Basauri	9.47	35.5	48	BIZKAIA	40821	a. Más de 10.000	másde10000
Bedia	40.85	67.3	71.4	BIZKAIA	1033	c. Menos de 5.001	menosde5001
Berango	18.23	49.4	69.6	BIZKAIA	7207	b. De 5.001 a 10.000	de5001a10000
Bermeo	59.45	81.97	98.5	BIZKAIA	16776	a. Más de 10.000	másde10000
Berriatua	71.66	89.03	100	BIZKAIA	1249	c. Menos de 5.001	menosde5001
Berriz	40.15	63.87	90	BIZKAIA	4690	c. Menos de 5.001	menosde5001
Bilbao	10.06	36.3	49.5	BIZKAIA	343072	a. Más de 10.000	másde10000
Busturia	50.54	75.71	100	BIZKAIA	1672	c. Menos de 5.001	menosde5001
Derio	19.08	44.49	58.8	BIZKAIA	6694	b. De 5.001 a 10.000	de5001a10000
Dima	70.93	88.25	100	BIZKAIA	1462	c. Menos de 5.001	menosde5001
Durango	34.21	61.28	77.1	BIZKAIA	29455	a. Más de 10.000	másde10000
Ea	70.73	83.57	100	BIZKAIA	837	c. Menos de 5.001	menosde5001
Elantxobe	78.21	91.2	100	BIZKAIA	358	c. Menos de 5.001	menosde5001
Elorrio	47.5	67.34	95	BIZKAIA	7370	b. De 5.001 a 10.000	de5001a10000
Erandio	11.29	37.62	57.5	BIZKAIA	23757	a. Más de 10.000	másde10000
Ereño	76.95	90.43	100	BIZKAIA	256	c. Menos de 5.001	menosde5001
