zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño
Guztiak						
Araba						
Gipuzkoa						
Bizkaia		
Amorebieta-Etxano	39.03	64.55	98.1	bizkaia	18633	a. Más de 10.000
Amurrio	10.94	38.57	48.4	araba	10336	a. Más de 10.000
Andoain	39.7	60.75	75.4	gipuzkoa	14859	a. Más de 10.000
Arrasate/Mondragón	41.82	64.29	91	gipuzkoa	21929	a. Más de 10.000
Arrigorriaga	15.07	43.33	77.8	bizkaia	11989	a. Más de 10.000
Azkoitia	67.07	83.66	100	gipuzkoa	11825	a. Más de 10.000
Azpeitia	77.4	89.56	99	gipuzkoa	14818	a. Más de 10.000
Barakaldo	6.86	29.23	30.6	bizkaia	98684	a. Más de 10.000
Basauri	9.47	35.5	48	bizkaia	40821	a. Más de 10.000
Beasain	42.46	66.3	93.3	gipuzkoa	13802	a. Más de 10.000
Bergara	55.94	76	69.2	gipuzkoa	14897	a. Más de 10.000
Bermeo	59.45	81.97	98.5	bizkaia	16776	a. Más de 10.000
Bilbao	10.06	36.3	49.5	bizkaia	343072	a. Más de 10.000
Donostia / San Sebastián	27.12	53.66	78.7	gipuzkoa	180658	a. Más de 10.000
Durango	34.21	61.28	77.1	bizkaia	29455	a. Más de 10.000
Eibar	37.82	61.63	79.6	gipuzkoa	27155	a. Más de 10.000
Elgoibar	48.08	67.61	81	gipuzkoa	11442	a. Más de 10.000
Erandio	11.29	37.62	57.5	bizkaia	23757	a. Más de 10.000
Ermua	14.96	40.29	49.1	bizkaia	15924	a. Más de 10.000
Errenteria	24.97	47.09	81.9	gipuzkoa	39910	a. Más de 10.000
Etxebarri	12.47	36.01	39.6	bizkaia	11086	a. Más de 10.000
Galdakao	22.44	50.66	75.72	bizkaia	29302	a. Más de 10.000
Gernika-Lumo	55.36	76.81	96.3	bizkaia	16664	a. Más de 10.000
Getxo	12.67	42.71	44.7	bizkaia	77579	a. Más de 10.000
Hernani	45.02	66.04	86.8	gipuzkoa	20248	a. Más de 10.000
Hondarribia	46.81	70.65	83.8	gipuzkoa	17153	a. Más de 10.000
Irun	22.14	46.71	69.9	gipuzkoa	59748	a. Más de 10.000
Lasarte-Oria	27.94	51.52	87.6	gipuzkoa	18499	a. Más de 10.000
Laudio/Llodio	11.2	39.12	43.9	araba	18249	a. Más de 10.000
Leioa	13.36	42.17	63.6	bizkaia	31049	a. Más de 10.000
Mungia	37.62	66.81	100	bizkaia	17151	a. Más de 10.000
Oiartzun	63.65	80.47	100	gipuzkoa	10256	a. Más de 10.000
Oñati	67.29	83.17	100	gipuzkoa	11309	a. Más de 10.000
Pasaia	25.62	49.95	75	gipuzkoa	16629	a. Más de 10.000
Portugalete	7.52	31.02	33.3	bizkaia	46288	a. Más de 10.000
Santurtzi	7.37	31.07	43.9	bizkaia	45512	a. Más de 10.000
Sestao	6.91	29.05	31.9	bizkaia	27217	a. Más de 10.000
Sopelana	22.69	53.48	59.8	bizkaia	12704	a. Más de 10.000
Tolosa	58.36	75.05	91	gipuzkoa	19213	a. Más de 10.000
Valle de Trápaga-Trapagaran	8.12	31.84	37.5	bizkaia	11861	a. Más de 10.000
Vitoria-Gasteiz	8.68	36	36.5	araba	242870	a. Más de 10.000
Zarautz	58.31	78.48	92.3	gipuzkoa	23039	a. Más de 10.000
test	0	0	0		0	
test	100	100	100		0	
