zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño	tamano2
Todos						
Más de 10.000						
De 5.001 a 10.000						
Menos de 5.001
Abaltzisketa	90	95.33	100	GIPUZKOA	320	c. Menos de 5.001	menosde5001
Aduna	83.44	88.17	100	GIPUZKOA	465	c. Menos de 5.001	menosde5001
Aia	81.33	92.82	100	GIPUZKOA	2057	c. Menos de 5.001	menosde5001
Aizarnazabal	76.77	90.22	100	GIPUZKOA	749	c. Menos de 5.001	menosde5001
Albiztur	87.04	92.29	100	GIPUZKOA	301	c. Menos de 5.001	menosde5001
Alegia	68.43	87.08	100	GIPUZKOA	1780	c. Menos de 5.001	menosde5001
Alkiza	80.79	90.57	100	GIPUZKOA	354	c. Menos de 5.001	menosde5001
Altzaga	83.43	88.19	100	GIPUZKOA	175	c. Menos de 5.001	menosde5001
Altzo	84.34	90.97	100	GIPUZKOA	364	c. Menos de 5.001	menosde5001
Amezketa	87.73	95.86	100	GIPUZKOA	913	c. Menos de 5.001	menosde5001
Andoain	39.7	60.75	75.4	GIPUZKOA	14859	a. Más de 10.000	másde10000
Anoeta	60.24	78.77	100	GIPUZKOA	2037	c. Menos de 5.001	menosde5001
Antzuola	66.17	80.07	100	GIPUZKOA	2196	c. Menos de 5.001	menosde5001
Arama	73.71	90.91	88.9	GIPUZKOA	213	c. Menos de 5.001	menosde5001
Aretxabaleta	52.08	71.91	90.9	GIPUZKOA	7003	b. De 5.001 a 10.000	de5001a10000
Arrasate/Mondragón	41.82	64.29	91	GIPUZKOA	21929	a. Más de 10.000	másde10000
Asteasu	74.24	85.88	100	GIPUZKOA	1479	c. Menos de 5.001	menosde5001
Astigarraga	46.69	71.03	100	GIPUZKOA	6053	b. De 5.001 a 10.000	de5001a10000
Ataun	79.87	92.97	100	GIPUZKOA	1679	c. Menos de 5.001	menosde5001
Azkoitia	67.07	83.66	100	GIPUZKOA	11825	a. Más de 10.000	másde10000
Azpeitia	77.4	89.56	99	GIPUZKOA	14818	a. Más de 10.000	másde10000
Baliarrain	88.73	95.88	100	GIPUZKOA	142	c. Menos de 5.001	menosde5001
Beasain	42.46	66.3	93.3	GIPUZKOA	13802	a. Más de 10.000	másde10000
Beizama	84.43	94.05	100	GIPUZKOA	122	c. Menos de 5.001	menosde5001
Belauntza	77.69	86.6	100	GIPUZKOA	260	c. Menos de 5.001	menosde5001
Berastegi	83.86	92.74	100	GIPUZKOA	1066	c. Menos de 5.001	menosde5001
Bergara	55.94	76	69.2	GIPUZKOA	14897	a. Más de 10.000	másde10000
Berrobi	69.98	83.94	100	GIPUZKOA	613	c. Menos de 5.001	menosde5001
Bidania-Goiatz	76.46	91.48	100	GIPUZKOA	514	c. Menos de 5.001	menosde5001
Deba	65.58	81.15	97.2	GIPUZKOA	5441	b. De 5.001 a 10.000	de5001a10000
Donostia / San Sebastián	27.12	53.66	78.7	GIPUZKOA	180658	a. Más de 10.000	másde10000
Eibar	37.82	61.63	79.6	GIPUZKOA	27155	a. Más de 10.000	másde10000
Elduain	87.03	93.46	100	GIPUZKOA	239	c. Menos de 5.001	menosde5001
Elgeta	67.17	84.35	100	GIPUZKOA	1115	c. Menos de 5.001	menosde5001
Elgoibar	48.08	67.61	81	GIPUZKOA	11442	a. Más de 10.000	másde10000
Errenteria	24.97	47.09	81.9	GIPUZKOA	39910	a. Más de 10.000	másde10000
Errezil	90.86	94.41	100	GIPUZKOA	591	c. Menos de 5.001	menosde5001
