zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño
Todos						
Araba						
Gipuzkoa						
Bizkaia	
Abaltzisketa	90	95.33	100	gipuzkoa	320	c. Menos de 5.001
Aduna	83.44	88.17	100	gipuzkoa	465	c. Menos de 5.001
Aia	81.33	92.82	100	gipuzkoa	2057	c. Menos de 5.001
Aizarnazabal	76.77	90.22	100	gipuzkoa	749	c. Menos de 5.001
Ajangiz	81.94	92.72	100	bizkaia	465	c. Menos de 5.001
Albiztur	87.04	92.29	100	gipuzkoa	301	c. Menos de 5.001
Alegia	68.43	87.08	100	gipuzkoa	1780	c. Menos de 5.001
Alegría-Dulantzi	13.3	41.79	55.6	araba	3029	c. Menos de 5.001
Alkiza	80.79	90.57	100	gipuzkoa	354	c. Menos de 5.001
Alonsotegi	10.42	33.24	25	bizkaia	2888	c. Menos de 5.001
Altzaga	83.43	88.19	100	gipuzkoa	175	c. Menos de 5.001
Altzo	84.34	90.97	100	gipuzkoa	364	c. Menos de 5.001
Amezketa	87.73	95.86	100	gipuzkoa	913	c. Menos de 5.001
Amoroto	87.38	94.16	100	bizkaia	412	c. Menos de 5.001
Anoeta	60.24	78.77	100	gipuzkoa	2037	c. Menos de 5.001
Antzuola	66.17	80.07	100	gipuzkoa	2196	c. Menos de 5.001
Añana	5.92	22.47	0	araba	169	c. Menos de 5.001
Arakaldo	30.99	57.61	50	bizkaia	171	c. Menos de 5.001
Arama	73.71	90.91	88.9	gipuzkoa	213	c. Menos de 5.001
Aramaio	70.08	87.92	100	araba	1534	c. Menos de 5.001
Arantzazu	61.63	87.63	100	bizkaia	404	c. Menos de 5.001
Areatza	47.62	71.22	80	bizkaia	1178	c. Menos de 5.001
Armiñón	6.67	18.06	0	araba	225	c. Menos de 5.001
Arraia-Maeztu	8.9	28.45	100	araba	730	c. Menos de 5.001
Arrankudiaga	36.45	65.26	57.1	bizkaia	996	c. Menos de 5.001
Arratzu	82.34	94.57	100	bizkaia	402	c. Menos de 5.001
Arratzua-Ubarrundia	11.09	36.6	50	araba	1019	c. Menos de 5.001
Arrieta	56.78	85.11	100	bizkaia	553	c. Menos de 5.001
Artea	65.71	84.8	80	bizkaia	735	c. Menos de 5.001
Artzentales	8.76	26.71	25	bizkaia	731	c. Menos de 5.001
Artziniega	11.71	36.71	36.4	araba	1845	c. Menos de 5.001
Asparrena	14.96	39.26	47.1	araba	1658	c. Menos de 5.001
Asteasu	74.24	85.88	100	gipuzkoa	1479	c. Menos de 5.001
Ataun	79.87	92.97	100	gipuzkoa	1679	c. Menos de 5.001
Atxondo	52.21	71.92	100	bizkaia	1379	c. Menos de 5.001
Aulesti	84.84	95.66	100	bizkaia	653	c. Menos de 5.001
Ayala/Aiara	12.9	38.85	66.7	araba	2906	c. Menos de 5.001
Bakio	45.34	66.41	86.7	bizkaia	2627	c. Menos de 5.001
Baliarrain	88.73	95.88	100	gipuzkoa	142	c. Menos de 5.001
Baños de Ebro/Mañueta	3.56	27.16	0	araba	309	c. Menos de 5.001
Barrika	25.35	55.56	66.7	bizkaia	1566	c. Menos de 5.001
Barrundia	15.06	36.01	66.7	araba	936	c. Menos de 5.001
Bedia	40.85	67.3	71.4	bizkaia	1033	c. Menos de 5.001
Beizama	84.43	94.05	100	gipuzkoa	122	c. Menos de 5.001
Belauntza	77.69	86.6	100	gipuzkoa	260	c. Menos de 5.001
Berantevilla	5.02	23.86	0	araba	478	c. Menos de 5.001
Berastegi	83.86	92.74	100	gipuzkoa	1066	c. Menos de 5.001
Bernedo	6.35	22.35	0	araba	520	c. Menos de 5.001
Berriatua	71.66	89.03	100	bizkaia	1249	c. Menos de 5.001
Berriz	40.15	63.87	90	bizkaia	4690	c. Menos de 5.001
