zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño	tamano2
Agurain/Salvatierra	14.31	46.04	58.3	ARABA	5214	b. De 5.001 a 10.000	de5001a10000
Alegría-Dulantzi	13.8	48.73	57.1	ARABA	3117	c. Menos de 5.001	menosde5001
Amurrio	12.83	46.65	54.2	ARABA	10393	a. Más de 10.000	másde10000
Añana	5.14	36.05	25	ARABA	175	c. Menos de 5.001	menosde5001
Aramaio	65.55	89.6	87.5	ARABA	1495	c. Menos de 5.001	menosde5001
Armiñón	8.93	38.57	33.3	ARABA	224	c. Menos de 5.001	menosde5001
Arraia-Maeztu	11.19	42.34	40	ARABA	795	c. Menos de 5.001	menosde5001
Arratzua-Ubarrundia	12.92	45.03	75	ARABA	1060	c. Menos de 5.001	menosde5001
Artziniega	14.29	46.75	58.3	ARABA	1862	c. Menos de 5.001	menosde5001
Asparrena	15.87	45.7	50	ARABA	1657	c. Menos de 5.001	menosde5001
Ayala/Aiara	14.04	51.45	71.4	ARABA	2913	c. Menos de 5.001	menosde5001
Baños de Ebro/Mañueta	5.83	27.6	0	ARABA	309	c. Menos de 5.001	menosde5001
Barrundia	15.52	49.13	85.7	ARABA	928	c. Menos de 5.001	menosde5001
Berantevilla	4.18	28.16	33.3	ARABA	502	c. Menos de 5.001	menosde5001
Bernedo	9.78	35.45	50	ARABA	542	c. Menos de 5.001	menosde5001
Campezo/Kanpezu	12.47	41.54	57.1	ARABA	1099	c. Menos de 5.001	menosde5001
Elburgo/Burgelu	9.02	44.5	66.7	ARABA	654	c. Menos de 5.001	menosde5001
Elciego	5.45	32	33.3	ARABA	1027	c. Menos de 5.001	menosde5001
Elvillar/Bilar	6.96	28.57	50	ARABA	345	c. Menos de 5.001	menosde5001
Erriberagoitia/Ribera Alta	6.04	38.6	16.7	ARABA	878	c. Menos de 5.001	menosde5001
Harana/Valle de Arana	2.93	23.11	100	ARABA	239	c. Menos de 5.001	menosde5001
Iruña Oka/Iruña de Oca	8.74	43.69	58.8	ARABA	3534	c. Menos de 5.001	menosde5001
Iruraiz-Gauna	10.82	43.47	33.3	ARABA	564	c. Menos de 5.001	menosde5001
Kripan	6.08	33.15	25	ARABA	181	c. Menos de 5.001	menosde5001
Kuartango	11.68	38.85	100	ARABA	394	c. Menos de 5.001	menosde5001
Labastida/Bastida	10.14	44.37	37.5	ARABA	1598	c. Menos de 5.001	menosde5001
Lagrán	5.43	25.14	50	ARABA	184	c. Menos de 5.001	menosde5001
Laguardia	7.11	34.28	23.5	ARABA	1532	c. Menos de 5.001	menosde5001
Lanciego/Lantziego	7.52	34.57	16.7	ARABA	731	c. Menos de 5.001	menosde5001
Lantarón	3.95	24.23	20	ARABA	962	c. Menos de 5.001	menosde5001
Lapuebla de Labarca	10.17	37.81	14	ARABA	865	c. Menos de 5.001	menosde5001
Laudio/Llodio	13.24	45.17	91.9	ARABA	18109	a. Más de 10.000	másde10000
Legutio	18.91	51.18	42.9	ARABA	1978	c. Menos de 5.001	menosde5001
Leza	6.91	29.67	66.7	ARABA	217	c. Menos de 5.001	menosde5001
Moreda de Álava/Moreda Araba	5.47	26.28	50	ARABA	256	c. Menos de 5.001	menosde5001
Navaridas	5.86	28.38	33.3	ARABA	222	c. Menos de 5.001	menosde5001
Okondo	15.12	49.87	62.5	ARABA	1177	c. Menos de 5.001	menosde5001
Oyón-Oion	6.9	32.72	18.2	ARABA	3567	c. Menos de 5.001	menosde5001
Peñacerrada-Urizaharra	7.48	36.19	100	ARABA	321	c. Menos de 5.001	menosde5001
Ribera Baja/Erribera Beitia	6.68	33.14	37.5	ARABA	1572	c. Menos de 5.001	menosde5001
Samaniego	11.3	41.32	0	ARABA	292	c. Menos de 5.001	menosde5001
San Millán/Donemiliaga	17.08	43.49	50	ARABA	732	c. Menos de 5.001	menosde5001
Urkabustaiz	18.3	51.23	18.8	ARABA	1448	c. Menos de 5.001	menosde5001
Valdegovía/Gaubea	8.56	30.99	8.3	ARABA	1122	c. Menos de 5.001	menosde5001
Villabuena de Álava/Eskuernaga	9.25	31.01	0	ARABA	292	c. Menos de 5.001	menosde5001
Vitoria-Gasteiz	9.49	40.35	40.1	ARABA	247833	a. Más de 10.000	másde10000
Yécora/Iekora	4.56	24.33	25	ARABA	263	c. Menos de 5.001	menosde5001
Zalduondo	24.88	55.39	66.7	ARABA	205	c. Menos de 5.001	menosde5001
Zambrana	5.94	27.15	33.3	ARABA	438	c. Menos de 5.001	menosde5001
Zigoitia	14.83	49.53	100	ARABA	1827	c. Menos de 5.001	menosde5001
Zuia	15.74	51.05	83.3	ARABA	2345	c. Menos de 5.001	menosde5001
test	0	0	0		0		test
test	100	100	100		0		test
Todos							Todos
Araba							Araba
Gipuzkoa							Gipuzkoa
Bizkaia							Bizkaia
