zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño	tamano2
Abadiño	37	64.64	100	BIZKAIA	7624	b. De 5.001 a 10.000	de5001a10000
Abanto y Ciérvana-Abanto Zierbena	11.53	43.9	51.6	BIZKAIA	9405	b. De 5.001 a 10.000	de5001a10000
Ajangiz	75.11	94.34	100	BIZKAIA	466	c. Menos de 5.001	menosde5001
Alonsotegi	12.63	44.36	53	BIZKAIA	2946	c. Menos de 5.001	menosde5001
Amorebieta-Etxano	37.93	65.25	87.5	BIZKAIA	19225	a. Más de 10.000	másde10000
Amoroto	77.59	92.11	100	BIZKAIA	406	c. Menos de 5.001	menosde5001
Arakaldo	40	65.18	66.7	BIZKAIA	170	c. Menos de 5.001	menosde5001
Arantzazu	56.12	81.96	100	BIZKAIA	417	c. Menos de 5.001	menosde5001
Areatza	42.13	70.77	83.3	BIZKAIA	1258	c. Menos de 5.001	menosde5001
Arrankudiaga	38.87	70.73	54.5	BIZKAIA	1011	c. Menos de 5.001	menosde5001
Arratzu	75.6	91.73	100	BIZKAIA	414	c. Menos de 5.001	menosde5001
Arrieta	57.37	84.62	83.3	BIZKAIA	563	c. Menos de 5.001	menosde5001
Arrigorriaga	18.75	52.71	87	BIZKAIA	11896	a. Más de 10.000	másde10000
Artea	60.75	82.61	100	BIZKAIA	749	c. Menos de 5.001	menosde5001
Artzentales	11.24	39.08	40	BIZKAIA	712	c. Menos de 5.001	menosde5001
Atxondo	47.71	73.6	88.9	BIZKAIA	1373	c. Menos de 5.001	menosde5001
Aulesti	82.32	92.31	60	BIZKAIA	639	c. Menos de 5.001	menosde5001
Bakio	41.28	72.15	82.8	BIZKAIA	2781	c. Menos de 5.001	menosde5001
Balmaseda	11.52	40.37	55.2	BIZKAIA	7673	b. De 5.001 a 10.000	de5001a10000
Barakaldo	8.6	37.35	36.5	BIZKAIA	98729	a. Más de 10.000	másde10000
Barrika	25.16	58.12	66.7	BIZKAIA	1590	c. Menos de 5.001	menosde5001
Basauri	11.41	39.46	56.7	BIZKAIA	40546	a. Más de 10.000	másde10000
Bedia	38.6	67.31	100	BIZKAIA	1075	c. Menos de 5.001	menosde5001
Berango	19.46	55.55	68.8	BIZKAIA	7424	b. De 5.001 a 10.000	de5001a10000
Bermeo	55.74	78.93	98.9	BIZKAIA	16839	a. Más de 10.000	másde10000
Berriatua	68.25	86.41	100	BIZKAIA	1244	c. Menos de 5.001	menosde5001
Berriz	36.95	65.74	85.7	BIZKAIA	4541	c. Menos de 5.001	menosde5001
Bilbao	11.75	40.43	64.5	BIZKAIA	342662	a. Más de 10.000	másde10000
Busturia	46.3	73.78	100	BIZKAIA	1650	c. Menos de 5.001	menosde5001
Derio	21.4	54.02	58.5	BIZKAIA	7028	b. De 5.001 a 10.000	de5001a10000
Dima	65.45	89.77	100	BIZKAIA	1476	c. Menos de 5.001	menosde5001
Durango	31.95	61.86	80	BIZKAIA	29972	a. Más de 10.000	másde10000
Ea	67.02	86.59	100	BIZKAIA	843	c. Menos de 5.001	menosde5001
Elantxobe	79.19	91.23	100	BIZKAIA	346	c. Menos de 5.001	menosde5001
Elorrio	44.12	69.65	100	BIZKAIA	7472	b. De 5.001 a 10.000	de5001a10000
Erandio	12.65	43.17	72.3	BIZKAIA	24050	a. Más de 10.000	másde10000
Ereño	77.01	91.08	100	BIZKAIA	274	c. Menos de 5.001	menosde5001
Ermua	15.06	43.33	61.4	BIZKAIA	15806	a. Más de 10.000	másde10000
Errigoiti	65.71	88.2	60	BIZKAIA	487	c. Menos de 5.001	menosde5001
Etxebarri	14.76	49.85	100	BIZKAIA	11535	a. Más de 10.000	másde10000
