zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño
Todos						
Araba						
Gipuzkoa						
Bizkaia		
Amorebieta-Etxano	37.93	65.25	87.5	bizkaia	19225	a. Más de 10.000
Amurrio	12.83	46.65	54.2	araba	10393	a. Más de 10.000
Andoain	41.12	66.26	79.2	gipuzkoa	14866	a. Más de 10.000
Arrasate/Mondragón	40.8	64.45	81.2	gipuzkoa	21729	a. Más de 10.000
Arrigorriaga	18.75	52.71	87	bizkaia	11896	a. Más de 10.000
Azkoitia	62.47	80.99	98.6	gipuzkoa	11962	a. Más de 10.000
Azpeitia	72.05	86.91	88.7	gipuzkoa	15329	a. Más de 10.000
Barakaldo	8.6	37.35	36.5	bizkaia	98729	a. Más de 10.000
Basauri	11.41	39.46	56.7	bizkaia	40546	a. Más de 10.000
Beasain	41.35	67.29	84.3	gipuzkoa	13845	a. Más de 10.000
Bergara	54.65	75.61	75	gipuzkoa	14804	a. Más de 10.000
Bermeo	55.74	78.93	98.9	bizkaia	16839	a. Más de 10.000
Bilbao	11.75	40.43	64.5	bizkaia	342662	a. Más de 10.000
Donostia / San Sebastián	29.07	57.34	92	gipuzkoa	182088	a. Más de 10.000
Durango	31.95	61.86	80	bizkaia	29972	a. Más de 10.000
Eibar	36.85	63.15	75.6	gipuzkoa	27195	a. Más de 10.000
Elgoibar	46.78	69.77	81.3	gipuzkoa	11384	a. Más de 10.000
Erandio	12.65	43.17	72.3	bizkaia	24050	a. Más de 10.000
Ermua	15.06	43.33	61.4	bizkaia	15806	a. Más de 10.000
Errenteria	27.5	53.99	76.5	gipuzkoa	39755	a. Más de 10.000
Etxebarri	14.76	49.85	100	bizkaia	11535	a. Más de 10.000
Galdakao (36) + Usansolo (916)	23.84	55.32	70.87	bizkaia	29429	a. Más de 10.000
Gernika-Lumo	52.46	75.58	94.2	bizkaia	16826	a. Más de 10.000
Getxo	13.43	45.09	54.8	bizkaia	76319	a. Más de 10.000
Hernani	45.5	70	92.5	gipuzkoa	20588	a. Más de 10.000
Hondarribia	47.53	72.81	85.8	gipuzkoa	17014	a. Más de 10.000
Irun	24.31	51.37	72.7	gipuzkoa	60522	a. Más de 10.000
Lasarte-Oria	29.79	55.69	84.5	gipuzkoa	19294	a. Más de 10.000
Laudio/Llodio	13.24	45.17	91.9	araba	18109	a. Más de 10.000
Leioa	14.18	47.9	82.9	bizkaia	31940	a. Más de 10.000
Mungia	36.59	66.15	90.4	bizkaia	17324	a. Más de 10.000
Oiartzun	63.38	82.57	99	gipuzkoa	10297	a. Más de 10.000
Oñati	64.45	82.04	93.4	gipuzkoa	11367	a. Más de 10.000
Ordizia	44.15	67.73	91.1	gipuzkoa	10057	a. Más de 10.000
Pasaia	28.15	55.27	88.3	gipuzkoa	16612	a. Más de 10.000
Portugalete	9.31	36.87	30.5	bizkaia	45677	a. Más de 10.000
Santurtzi	9.17	38.46	53.7	bizkaia	45661	a. Más de 10.000
Sestao	8.72	35.83	33	bizkaia	26896	a. Más de 10.000
Sopelana	23.43	59.56	73.3	bizkaia	13273	a. Más de 10.000
Tolosa	56.65	77.6	88.7	gipuzkoa	19688	a. Más de 10.000
Valle de Trápaga-Trapagaran	11.12	41.94	40.7	bizkaia	11760	a. Más de 10.000
Vitoria-Gasteiz	9.49	40.35	40.1	araba	247833	a. Más de 10.000
Zarautz	56.8	79.95	86.9	gipuzkoa	23243	a. Más de 10.000
test	0	0	0		0	
test	100	100	100		0	
