zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño
Todos						
Araba						
Gipuzkoa						
Bizkaia					
Abadiño	37	64.64	100	bizkaia	7624	b. De 5.001 a 10.000
Abanto y Ciérvana-Abanto Zierbena	11.53	43.9	51.6	bizkaia	9405	b. De 5.001 a 10.000
Agurain/Salvatierra	14.31	46.04	58.3	araba	5214	b. De 5.001 a 10.000
Aretxabaleta	52.04	73.75	88.9	gipuzkoa	7118	b. De 5.001 a 10.000
Astigarraga	45.82	74.19	95.6	gipuzkoa	7056	b. De 5.001 a 10.000
Balmaseda	11.52	40.37	55.2	bizkaia	7673	b. De 5.001 a 10.000
Berango	19.46	55.55	68.8	bizkaia	7424	b. De 5.001 a 10.000
Deba	62.94	82.02	82	gipuzkoa	5437	b. De 5.001 a 10.000
Derio	21.4	54.02	58.5	bizkaia	7028	b. De 5.001 a 10.000
Elorrio	44.12	69.65	100	bizkaia	7472	b. De 5.001 a 10.000
Gorliz	23.72	58.4	100	bizkaia	6059	b. De 5.001 a 10.000
Güeñes	12.49	43.78	61	bizkaia	6612	b. De 5.001 a 10.000
Lazkao	50.67	73.25	85.7	gipuzkoa	5810	b. De 5.001 a 10.000
Legazpi	46.43	68.76	71.4	gipuzkoa	8336	b. De 5.001 a 10.000
Lekeitio	68.42	86.81	92.3	bizkaia	7243	b. De 5.001 a 10.000
Lezo	44.65	70.3	100	gipuzkoa	6087	b. De 5.001 a 10.000
Markina-Xemein	62.54	82.19	88.5	bizkaia	5032	b. De 5.001 a 10.000
Muskiz	11.37	45.22	50	bizkaia	7289	b. De 5.001 a 10.000
Mutriku	70.89	87.72	83.3	gipuzkoa	5314	b. De 5.001 a 10.000
Ondarroa	68.45	82.8	97.9	bizkaia	8451	b. De 5.001 a 10.000
Orio	62.75	80.79	90.1	gipuzkoa	6107	b. De 5.001 a 10.000
Ortuella	10.57	41.44	54	bizkaia	8319	b. De 5.001 a 10.000
Urnieta	42	68.53	94.3	gipuzkoa	6172	b. De 5.001 a 10.000
Urretxu	46.12	69.97	90.5	gipuzkoa	6835	b. De 5.001 a 10.000
Usurbil	59.73	79.36	97.3	gipuzkoa	6146	b. De 5.001 a 10.000
Villabona	54.58	75.76	95.1	gipuzkoa	5755	b. De 5.001 a 10.000
Zalla	12.46	43.23	79.1	bizkaia	8349	b. De 5.001 a 10.000
Zumaia	61.14	80.32	97.7	gipuzkoa	9983	b. De 5.001 a 10.000
Zumarraga	36.95	62.33	74.4	gipuzkoa	9626	b. De 5.001 a 10.000
test	0	0	0		0	
test	100	100	100		0		
