zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño	tamano2
Abaltzisketa	86.32	94.1	100	GIPUZKOA	307	c. Menos de 5.001	menosde5001
Aduna	77.62	93.13	100	GIPUZKOA	478	c. Menos de 5.001	menosde5001
Aia	75.11	89.92	100	GIPUZKOA	2033	c. Menos de 5.001	menosde5001
Aizarnazabal	71.08	87.29	100	GIPUZKOA	771	c. Menos de 5.001	menosde5001
Albiztur	83.77	92.59	100	GIPUZKOA	302	c. Menos de 5.001	menosde5001
Alegia	64.81	81.04	100	GIPUZKOA	1816	c. Menos de 5.001	menosde5001
Alkiza	79.6	92.44	100	GIPUZKOA	348	c. Menos de 5.001	menosde5001
Altzaga	81.18	91.12	100	GIPUZKOA	170	c. Menos de 5.001	menosde5001
Altzo	79.04	91.37	100	GIPUZKOA	396	c. Menos de 5.001	menosde5001
Amezketa	82.31	91.38	100	GIPUZKOA	927	c. Menos de 5.001	menosde5001
Andoain	41.12	66.26	79.2	GIPUZKOA	14866	a. Más de 10.000	másde10000
Anoeta	59.33	78.36	94.1	GIPUZKOA	2112	c. Menos de 5.001	menosde5001
Antzuola	62.49	81.24	92.3	GIPUZKOA	2146	c. Menos de 5.001	menosde5001
Arama	73.66	86.45	88.9	GIPUZKOA	205	c. Menos de 5.001	menosde5001
Aretxabaleta	52.04	73.75	88.9	GIPUZKOA	7118	b. De 5.001 a 10.000	de5001a10000
Arrasate/Mondragón	40.8	64.45	81.2	GIPUZKOA	21729	a. Más de 10.000	másde10000
Asteasu	71.08	86.75	100	GIPUZKOA	1518	c. Menos de 5.001	menosde5001
Astigarraga	45.82	74.19	95.6	GIPUZKOA	7056	b. De 5.001 a 10.000	de5001a10000
Ataun	76.57	90.79	100	GIPUZKOA	1707	c. Menos de 5.001	menosde5001
Azkoitia	62.47	80.99	98.6	GIPUZKOA	11962	a. Más de 10.000	másde10000
Azpeitia	72.05	86.91	88.7	GIPUZKOA	15329	a. Más de 10.000	másde10000
Baliarrain	83.87	91.89	100	GIPUZKOA	155	c. Menos de 5.001	menosde5001
Beasain	41.35	67.29	84.3	GIPUZKOA	13845	a. Más de 10.000	másde10000
Beizama	84.75	93.59	100	GIPUZKOA	118	c. Menos de 5.001	menosde5001
Belauntza	71.69	88.06	100	GIPUZKOA	272	c. Menos de 5.001	menosde5001
Berastegi	79.12	93.22	100	GIPUZKOA	1073	c. Menos de 5.001	menosde5001
Bergara	54.65	75.61	75	GIPUZKOA	14804	a. Más de 10.000	másde10000
Berrobi	67.33	87.52	100	GIPUZKOA	603	c. Menos de 5.001	menosde5001
Bidania-Goiatz	70.02	88.92	60	GIPUZKOA	537	c. Menos de 5.001	menosde5001
Deba	62.94	82.02	82	GIPUZKOA	5437	b. De 5.001 a 10.000	de5001a10000
Donostia / San Sebastián	29.07	57.34	92	GIPUZKOA	182088	a. Más de 10.000	másde10000
Eibar	36.85	63.15	75.6	GIPUZKOA	27195	a. Más de 10.000	másde10000
Elduain	85.83	93.43	100	GIPUZKOA	240	c. Menos de 5.001	menosde5001
Elgeta	64.41	83.27	92.9	GIPUZKOA	1121	c. Menos de 5.001	menosde5001
Elgoibar	46.78	69.77	81.3	GIPUZKOA	11384	a. Más de 10.000	másde10000
Errenteria	27.5	53.99	76.5	GIPUZKOA	39755	a. Más de 10.000	másde10000
Errezil	83.76	95.18	100	GIPUZKOA	585	c. Menos de 5.001	menosde5001
Eskoriatza	43.45	68.26	90.3	GIPUZKOA	4131	c. Menos de 5.001	menosde5001
Ezkio-Itsaso	75.24	87.4	100	GIPUZKOA	638	c. Menos de 5.001	menosde5001
Gabiria	78.33	92.03	100	GIPUZKOA	526	c. Menos de 5.001	menosde5001
Gaintza	83.72	91.6	100	GIPUZKOA	129	c. Menos de 5.001	menosde5001
Gaztelu	84.92	92.49	100	GIPUZKOA	179	c. Menos de 5.001	menosde5001
Getaria	71.57	86.4	95.2	GIPUZKOA	2839	c. Menos de 5.001	menosde5001
Hernani	45.5	70	92.5	GIPUZKOA	20588	a. Más de 10.000	másde10000
Hernialde	73.21	85.71	100	GIPUZKOA	321	c. Menos de 5.001	menosde5001
Hondarribia	47.53	72.81	85.8	GIPUZKOA	17014	a. Más de 10.000	másde10000
Ibarra	54.15	75.22	93.3	GIPUZKOA	4179	c. Menos de 5.001	menosde5001
Idiazabal	71.75	86.75	65	GIPUZKOA	2336	c. Menos de 5.001	menosde5001
Ikaztegieta	64.71	81.91	100	GIPUZKOA	476	c. Menos de 5.001	menosde5001
Irun	24.31	51.37	72.7	GIPUZKOA	60522	a. Más de 10.000	másde10000
Irura	56.34	80.15	88.2	GIPUZKOA	1837	c. Menos de 5.001	menosde5001
Itsasondo	60.74	79.73	100	GIPUZKOA	675	c. Menos de 5.001	menosde5001
Larraul	75.86	90	100	GIPUZKOA	261	c. Menos de 5.001	menosde5001
Lasarte-Oria	29.79	55.69	84.5	GIPUZKOA	19294	a. Más de 10.000	másde10000
Lazkao	50.67	73.25	85.7	GIPUZKOA	5810	b. De 5.001 a 10.000	de5001a10000
