zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño
Guztiak						
Araba						
Gipuzkoa						
Bizkaia	
Abadiño	38.7	62.26	100	bizkaia	7527	b. De 5.001 a 10.000
Abanto y Ciérvana-Abanto Zierbena	8.92	33.83	37.7	bizkaia	9564	b. De 5.001 a 10.000
Agurain/Salvatierra	12.08	39.04	67.5	araba	5207	b. De 5.001 a 10.000
Aretxabaleta	52.08	71.91	90.9	gipuzkoa	7003	b. De 5.001 a 10.000
Astigarraga	46.69	71.03	100	gipuzkoa	6053	b. De 5.001 a 10.000
Balmaseda	8	29.8	41.7	bizkaia	7691	b. De 5.001 a 10.000
Berango	18.23	49.4	69.6	bizkaia	7207	b. De 5.001 a 10.000
Deba	65.58	81.15	97.2	gipuzkoa	5441	b. De 5.001 a 10.000
Derio	19.08	44.49	58.8	bizkaia	6694	b. De 5.001 a 10.000
Elorrio	47.5	67.34	95	bizkaia	7370	b. De 5.001 a 10.000
Gorliz	21.75	52.59	50	bizkaia	5691	b. De 5.001 a 10.000
Güeñes	9.3	32.72	37.5	bizkaia	6632	b. De 5.001 a 10.000
Lazkao	51.6	70.02	85.7	gipuzkoa	5440	b. De 5.001 a 10.000
Legazpi	45.07	65.73	76.3	gipuzkoa	8390	b. De 5.001 a 10.000
Lekeitio	73.15	88.38	100	bizkaia	7206	b. De 5.001 a 10.000
Lezo	44.52	66	98.4	gipuzkoa	6065	b. De 5.001 a 10.000
Muskiz	8.88	34.77	41.3	bizkaia	7430	b. De 5.001 a 10.000
Mutriku	71.38	88.4	79.4	gipuzkoa	5357	b. De 5.001 a 10.000
Ondarroa	70.59	86.73	100	bizkaia	8593	b. De 5.001 a 10.000
Ordizia	46.28	68.62	93.1	gipuzkoa	9577	b. De 5.001 a 10.000
Orio	66.51	84.56	92.6	gipuzkoa	5916	b. De 5.001 a 10.000
Ortuella	8.22	30.75	39.1	bizkaia	8359	b. De 5.001 a 10.000
Urnieta	42.01	63.41	90.6	gipuzkoa	6177	b. De 5.001 a 10.000
Urretxu	44.75	64.75	80.6	gipuzkoa	6842	b. De 5.001 a 10.000
Usurbil	59.4	78.07	100	gipuzkoa	6170	b. De 5.001 a 10.000
Villabona	56.13	75.09	94.6	gipuzkoa	5756	b. De 5.001 a 10.000
Zalla	9.42	33.22	45.3	bizkaia	8367	b. De 5.001 a 10.000
Zumaia	61.58	79.59	100	gipuzkoa	9869	b. De 5.001 a 10.000
Zumarraga	33.82	54.88	65.7	gipuzkoa	9751	b. De 5.001 a 10.000
test	0	0	0		0	
test	100	100	100		0	
